Rank,Title,Price_Raw,Price_Cleaned,Link
178,"HP ProBook 460 G11 16"" WUXGA Notebook Intel Core Ultra 7 155U 32GB RAM 1TB SSD Pike Silver Aluminum - Intel Core Ultra 7 155U Dodeca-core - 1920 x 1200 WUXGA Display - in-Plane Switching (IPS) Te","402,868.",402868.0,https://amazon.com/HP-ProBook-460-G11-Notebook/dp/B0D45SVF7H/ref=sr_1_79?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.xO4nnyUOzhaV83vT67NcrwGs8L-YhGI6rjGEvoHip8pJGNoGijtpOqEHHdqGu2HS2SkZdGhUgLdjXgS79X-11FLlcA2kelpGtNtkaqczMbw4Ey5w3rmJfB8pjaZ4WjpTyokUOtSpLOy94wVCndkjo0pTfhzvor78AYx9s51ZPWxW1s7mtHrklqZ840BgTrh7EJ5SwoqGbbjh4iBz__KRre5BO_Icb2EjaFFwFWMSMOE.pPMS1Q9DFu2GRPSCjGKBUl1UnGDYNsiMDeZbMuwu5Xc&dib_tag=se&keywords=laptop&qid=1776909406&sprefix=laptop%2Caps%2C428&sr=8-79
179,"Lenovo Legion 5i 16"" AI Gaming Laptop, 16"" 240Hz WQXGA (2560x1600) IPS 500nits, Intel 24-Core Ultra 9 275HX, NVIDIA GeForce RTX 5060 8GB GDDR7, RGB Backlit, WiFi7, Win11 PRO, W/128GB PSD(32GB|1TB SSD)","478,935.",478935.0,https://amazon.com/Lenovo-2560x1600-500nits-24-Core-275HX/dp/B0FQTGPMVN/ref=sr_1_88?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.ISdUGW8lXOajTlPaTrek5Y3XISPEdLdhhTHXhmFkI9u42FUQWMQ9BkLEruzDcVoBJTzAMaVxv1W8_MI3pXyZB07uTZDwAc5xj4aygziEZQ4YHIprNnaOJWTv0g_yj0Q9CCrWUWHwQnnZQEKjRt-8FDJf6JkO5oL2lxXzFbYk_QkRuxjFGim9pEknGq299FKUu556Zz7x0ESNBcOF1kOOZRt13r-jMHnbKV1WpGc4BCU.dyECLwT6BfGd8rsV8xztuHH1XTBYDCM93JDzhVJ40CE&dib_tag=se&keywords=laptop&qid=1776909411&sprefix=laptop%2Caps%2C428&sr=8-88
180,"msi Katana 15 HX 15.6” 165Hz QHD+ Gaming Laptop: Intel Core i9-14900HX, NVIDIA Geforce RTX 5070, 32GB DDR5, 1TB NVMe SSD, RGB Keyboard, Win 11 Home: Black B14WGK-016US","486,487.",486487.0,https://amazon.com/Katana-15-6-165Hz-Gaming-Laptop/dp/B0DZFVBQLK/ref=sr_1_49?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.gnxc7YH8uR13WiRZd0cXMoGt0QuLFENZY_yKgNYFBZJ4OI_3-LUzisTATgVPmF5fhupMAnfaw2sSq4Yw5iiGCG2E_D_uLqIxLw4lq-VaeTxdEoU2KyNRQFhMQJpKeZfaUKoHKZhXFe2a5-xOMZGpj9CEB1VySjJS8r8vgUX4lyDQE6pUsxJ2TjjaVXV4VJSFNIbiDk-aBoVGUddYuoqwNsOqn5AO0JSbV8FteiqVAUQ.dGf4ilkbNpqiebdOWxvkQeEOrXoj1garMNCqbgq9KwM&dib_tag=se&keywords=laptop&qid=1776909397&sprefix=laptop%2Caps%2C428&sr=8-49
181,"ASUS Zenbook Duo Laptop, Dual 14” OLED 3K 120Hz Touch Display, Evo, Intel Core Ultra 9 285H, Intel Arc Graphics, 32GB RAM, 1TB SSD, Windows 11, UX8406CA-PS99T","529,669.",529669.0,https://amazon.com/ASUS-Zenbook-Display-Graphics-UX8406CA-PS99T/dp/B0DPQ35KMW/ref=sr_1_140?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.zy7HbJn3QS-jUgsx6hUWPmiI_2uapiSkJRc2tZir3JeuIESI8_CjQd_7ZkPGqydJvcrLOFqlyyBwtKNYPW45kgbxeFwnHzKSwoZjeqCdgQGXpiuUG68TQbOTEKboxE2qjRZUnplMaIczCzS5FQtUH9_5PQmgndmCevfybKryQjEQQuyOrcecz_IOAlbeHqxdHJhrxk9AQ1kGmEsDEdCsnM4_-J8ZO41RjAzR-t9pQ6Q.BmzoAPXIfFF4TYKcOfElr14WyLaO52S8SAXBw-3qv7w&dib_tag=se&keywords=laptop&qid=1776909426&sprefix=laptop%2Caps%2C428&sr=8-140
182,"ASUS ROG Flow Z13 2.5K 180Hz 3ms ROG Nebula Touchscreen 13.4"" Convertible 2-in-1 Gaming Notebook AMD Ryzen AI MAX+ 395 32GB RAM 1TB SSD Off Black","576,785.",576785.0,https://amazon.com/ASUS-Nebula-Touchscreen-Convertible-Notebook/dp/B0DT7MNLTD/ref=sr_1_126?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.yMf-NywMzMVN3vuBRh8_s6Wc9gNkvoDDTCqAe1Sy-6kpQSslZLYSVA2CgFxdRGgKCkODXHQwoCuBJEOs4axm28lV9nX1XEfedmKHBXcglTynulComa7CBDnC7kZhplg6v1LCHek27l8J6XtN6oHlIcB61gJCLxeRvyOqjJ9CsAzMAAiI3ZMB4sbyGrxV817o78X1DDHZO3-kZ5ejfl7AgtXSgO-bqLZ77z4KpzXCUR4.lqxCv2FZnmFXGMsRojrJ0TSyXvVl0HmhYpDa3e1dpqk&dib_tag=se&keywords=laptop&qid=1776909421&sprefix=laptop%2Caps%2C428&sr=8-126
183,"Lenovo ThinkPad P16 Gen 2 Intel Core i7-14700HX, 20C, 16"" WQUXGA (3840 x 2400), 800 nits, 60Hz, 32GB RAM DDR5, 1TB SSD, NVIDIA RTX 2000, Backlit KYB, Fingerprint Reader, Windows Pro","585,424.",585424.0,https://amazon.com/Lenovo-ThinkPad-i7-14700HX-Backlit-Fingerprint/dp/B0D8MVHPZ8/ref=sr_1_95?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.ISdUGW8lXOajTlPaTrek5Y3XISPEdLdhhTHXhmFkI9u42FUQWMQ9BkLEruzDcVoBJTzAMaVxv1W8_MI3pXyZB07uTZDwAc5xj4aygziEZQ4YHIprNnaOJWTv0g_yj0Q9CCrWUWHwQnnZQEKjRt-8FDJf6JkO5oL2lxXzFbYk_QkRuxjFGim9pEknGq299FKUu556Zz7x0ESNBcOF1kOOZRt13r-jMHnbKV1WpGc4BCU.dyECLwT6BfGd8rsV8xztuHH1XTBYDCM93JDzhVJ40CE&dib_tag=se&keywords=laptop&qid=1776909411&sprefix=laptop%2Caps%2C428&sr=8-95
184,"ASUS ROG Strix G18 (2025) Gaming Laptop, 18” ROG Nebula 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5070, Intel® Core™ Ultra 9 275HX, 32GB DDR5-5600, 2TB PCIe Gen 4 SSD, Wi-Fi 7, Windows 11 Pro","640,903.",640903.0,https://amazon.com/ASUS-Strix-Gaming-Laptop-Nebula/dp/B0F1CB49YB/ref=sr_1_57?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.qMu-q2O5a8NLehysl4S7xa44zgVBgVqLc4uCHY-fUCfmusmox6sxhOZKP9sTI4F6jHA9nFyMQgjxybBMtF62eOm4il4U2wlBfik20U1L2q91lWovAhcW5-IffRMQDcvRZtdsEs2Ory5EmHLKZUI37xgHgSh0rQqwPoRJtPuUrTmV3i5yJ0zIBQkjSZVi5JsABR8ykTh1fqoU6MYmja5QN8VS9Wub11Jw5eTIuPIh5do.kGzu7V3YQm2oagHczpZESlKOV4-7J5e6jzABdPpZGfc&dib_tag=se&keywords=laptop&qid=1776909402&sprefix=laptop%2Caps%2C428&sr=8-57
185,"Lenovo Legion Pro 7i – Gaming Laptop - Intel® Core™ Ultra 9 275HX – 16"" 2.5K WQXGA OLED Display – 240Hz Refresh Rate – GeForce RTX™ 5070 Ti GPU – 32 GB Memory – 1 TB Storage – 3-Month PC GamePass","669,057.",669057.0,https://amazon.com/Lenovo-Legion-Pro-7i-GamePass/dp/B0DXXMLXVD/ref=sr_1_38?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.gnxc7YH8uR13WiRZd0cXMoGt0QuLFENZY_yKgNYFBZJ4OI_3-LUzisTATgVPmF5fhupMAnfaw2sSq4Yw5iiGCG2E_D_uLqIxLw4lq-VaeTxdEoU2KyNRQFhMQJpKeZfaUKoHKZhXFe2a5-xOMZGpj9CEB1VySjJS8r8vgUX4lyDQE6pUsxJ2TjjaVXV4VJSFNIbiDk-aBoVGUddYuoqwNsOqn5AO0JSbV8FteiqVAUQ.dGf4ilkbNpqiebdOWxvkQeEOrXoj1garMNCqbgq9KwM&dib_tag=se&keywords=laptop&qid=1776909397&sprefix=laptop%2Caps%2C428&sr=8-38
186,"ASUS ROG Flow Z13 (2025) Gaming Laptop, 13” ROG Nebula 16:10 2.5K 180Hz/3ms, AMD Ryzen AI MAX+ 395, RDNA 3.5 Graphics, 128GB LPDDR5X 8000MHz, 1TB PCIe Gen 4 SSD, Wi-Fi 7, Win 11 Pro, GZ302EA-XS99","754,919.",754919.0,https://amazon.com/ASUS-Flow-Gaming-Laptop-Nebula/dp/B0DW238TXK/ref=sr_1_31?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.aIXYZAmIZJMIRDpPUtKmqqKIMlLF3vwupzc7W4kfqe8Y4Exc8VFq-3XUY8TQn1JNS3FUAibKa32I7Lz7jGBETWyTRLJDdcoPQXEOs-lHoM9fuMi4EiojNiMIogNVsjuu4MAB-1OVo9aXWJjaj2ye63upzgziPAmnwcZlzM2S9yu7Hxuhcdcnhj10JD5i6Di5rmAJe_iTenrGktZ3mqKT883hPmtXHoyqKBbNL4UyLTA.tRFkCaFlglIuznw1fnGBGSMUDizxRwmauEeskIvdNEE&dib_tag=se&keywords=laptop&qid=1776909393&sprefix=laptop%2Caps%2C428&sr=8-31
187,"ASUS ROG Strix SCAR 18 (2025) Gaming Laptop, 18” ROG Nebula HDR 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5080, Intel® Core™ Ultra 9 275HX, 32GB DDR5-5600, 2TB PCIe Gen 4 SSD, Wi-Fi 7, Windows 11 Pro","919,954.",919954.0,https://amazon.com/ASUS-Strix-Gaming-Laptop-Nebula/dp/B0DW29H85Z/ref=sr_1_89?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.ISdUGW8lXOajTlPaTrek5Y3XISPEdLdhhTHXhmFkI9u42FUQWMQ9BkLEruzDcVoBJTzAMaVxv1W8_MI3pXyZB07uTZDwAc5xj4aygziEZQ4YHIprNnaOJWTv0g_yj0Q9CCrWUWHwQnnZQEKjRt-8FDJf6JkO5oL2lxXzFbYk_QkRuxjFGim9pEknGq299FKUu556Zz7x0ESNBcOF1kOOZRt13r-jMHnbKV1WpGc4BCU.dyECLwT6BfGd8rsV8xztuHH1XTBYDCM93JDzhVJ40CE&dib_tag=se&keywords=laptop&qid=1776909411&sprefix=laptop%2Caps%2C428&sr=8-89
